原片材质,原片序号,原片id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
YW10-0218S,1,251,0.0,0.0,488.0,118.0
YW10-0218S,1,275,488.0,0.0,237.0,58.0
YW10-0218S,1,445,725.0,0.0,991.0,462.0
YW10-0218S,1,323,1716.0,0.0,628.0,78.0
YW10-0218S,1,141,0.0,462.0,724.0,58.0
YW10-0218S,1,286,724.0,462.0,356.0,38.0
YW10-0218S,1,167,1080.0,462.0,238.0,118.0
YW10-0218S,1,198,1318.0,462.0,701.5,360.0
YW10-0218S,2,569,700.0,0.0,832.0,677.0
YW10-0218S,2,13,700.0,677.0,2161.0,58.0
YW10-0218S,3,596,1400.0,0.0,517.0,423.0
YW10-0218S,3,562,1917.0,0.0,770.0,530.0
YW10-0218S,3,591,2687.0,0.0,217.0,58.0
YW10-0218S,3,160,2904.0,0.0,535.0,535.0
YW10-0218S,3,611,1400.0,535.0,880.0,348.0
YW10-0218S,3,737,2280.0,535.0,672.0,212.5
YW10-0218S,4,217,2100.0,0.0,912.0,529.0
YW10-0218S,4,419,3012.0,0.0,783.0,578.0
YW10-0218S,4,698,3795.0,0.0,470.5,58.0
YW10-0218S,5,431,0.0,360.0,2001.0,871.0
YW10-0218S,5,333,0.0,1231.0,2098.0,290.0
YW10-0218S,6,377,700.0,360.0,1998.0,98.0
YW10-0218S,6,310,700.0,458.0,1122.0,729.0
YW10-0218S,6,166,1822.0,458.0,710.0,508.0
YW10-0218S,6,14,2532.0,458.0,461.0,373.0
YW10-0218S,6,752,700.0,1187.0,2308.0,347.0
YW10-0218S,7,587,1400.0,360.0,717.0,644.0
YW10-0218S,7,504,2117.0,360.0,881.0,387.5
YW10-0218S,7,761,2998.0,360.0,488.0,78.0
YW10-0218S,7,728,1400.0,1004.0,474.5,461.5
YW10-0218S,7,213,1874.5,1004.0,821.0,58.0
YW10-0218S,8,37,2100.0,360.0,1964.0,395.0
YW10-0218S,8,510,2100.0,755.0,767.0,767.0
YW10-0218S,8,498,2867.0,755.0,517.0,517.0
YW10-0218S,8,663,3384.0,755.0,709.0,709.0
YW10-0218S,9,764,0.0,720.0,860.0,58.0
YW10-0218S,9,725,860.0,720.0,536.0,536.0
YW10-0218S,9,52,1396.0,720.0,662.5,558.0
YW10-0218S,9,757,0.0,1278.0,734.0,248.0
YW10-0218S,9,607,734.0,1278.0,364.0,339.0
YW10-0218S,9,59,1098.0,1278.0,1128.0,348.0
YW10-0218S,10,58,700.0,720.0,338.0,118.0
YW10-0218S,10,748,1038.0,720.0,1080.0,378.0
YW10-0218S,10,194,2118.0,720.0,302.0,58.0
YW10-0218S,10,642,2420.0,720.0,338.0,158.0
YW10-0218S,10,410,700.0,1098.0,400.0,259.0
YW10-0218S,10,483,700.0,1357.0,2114.0,441.5
YW10-0218S,11,68,1400.0,720.0,880.0,328.0
YW10-0218S,11,328,2280.0,720.0,723.0,428.0
YW10-0218S,11,192,3003.0,720.0,534.0,272.5
YW10-0218S,11,412,1400.0,1148.0,1618.0,299.0
YW10-0218S,11,244,3018.0,1148.0,483.0,132.5
YW10-0218S,12,652,2100.0,720.0,382.0,382.0
YW10-0218S,12,603,2482.0,720.0,588.0,572.0
YW10-0218S,12,643,3070.0,720.0,522.0,58.0
YW10-0218S,12,526,2100.0,1292.0,2098.0,558.0
YW10-0218S,13,513,0.0,1080.0,2014.0,340.8
